Időpont;Letöltés;Letöltés %;Feltöltés;Feltöltés %;Válaszidő;Csomagvesztés
2023.04.26 9:46;848.63 Mbps;85%;331.19 Mbps;110%;2 msec.;1
2023.04.26 10:30;851.43 Mbps;85%;330.76 Mbps;110%;2 msec.;1
2023.04.26 11:30;865.49 Mbps;87%;331.90 Mbps;111%;2 msec.;1
2023.04.26 12:30;859.54 Mbps;86%;331.60 Mbps;111%;2 msec.;1
2023.04.26 13:30;865.53 Mbps;87%;331.61 Mbps;111%;2 msec.;1
2023.04.26 14:30;856.92 Mbps;86%;331.27 Mbps;110%;2 msec.;1
2023.04.26 15:30;865.74 Mbps;87%;331.28 Mbps;110%;2 msec.;1
2023.04.26 16:30;853.59 Mbps;85%;330.37 Mbps;110%;2 msec.;1
2023.04.26 17:30;863.26 Mbps;86%;330.61 Mbps;110%;2 msec.;1
2023.04.26 18:30;863.99 Mbps;86%;330.43 Mbps;110%;2 msec.;1
2023.04.26 19:30;856.59 Mbps;86%;330.47 Mbps;110%;2 msec.;1
2023.04.26 20:30;850.79 Mbps;85%;329.68 Mbps;110%;2 msec.;1
2023.04.26 21:30;857.11 Mbps;86%;330.41 Mbps;110%;2 msec.;1
2023.04.26 22:30;858.69 Mbps;86%;330.47 Mbps;110%;2 msec.;1
2023.04.26 23:30;857.97 Mbps;86%;331.15 Mbps;110%;2 msec.;1
2023.04.27 0:30;863.77 Mbps;86%;331.34 Mbps;110%;2 msec.;1
2023.04.27 1:30;857.38 Mbps;86%;331.71 Mbps;111%;2 msec.;1
2023.04.27 2:30;857.92 Mbps;86%;331.64 Mbps;111%;2 msec.;1
2023.04.27 3:30;859.28 Mbps;86%;331.63 Mbps;111%;2 msec.;1
2023.04.27 4:30;844.01 Mbps;84%;331.78 Mbps;111%;2 msec.;1
2023.04.27 5:30;850.02 Mbps;85%;331.86 Mbps;111%;2 msec.;1
2023.04.27 6:30;858.76 Mbps;86%;332.05 Mbps;111%;2 msec.;1
2023.04.27 7:30;854.44 Mbps;85%;331.68 Mbps;111%;2 msec.;1
2023.04.27 8:30;858.17 Mbps;86%;331.92 Mbps;111%;2 msec.;1
2023.04.27 9:30;855.02 Mbps;86%;331.63 Mbps;111%;2 msec.;1
2023.04.27 10:30;857.50 Mbps;86%;331.67 Mbps;111%;2 msec.;1
2023.04.27 11:30;850.72 Mbps;85%;331.95 Mbps;111%;2 msec.;1
2023.04.27 12:30;849.33 Mbps;85%;331.84 Mbps;111%;2 msec.;1
2023.04.27 13:30;856.54 Mbps;86%;331.76 Mbps;111%;2 msec.;1
